Date,Category,SubCategory,Amount
2026-02-21,Food & Dining,Lunch,100.0
2026-02-21,Shopping,Clothes,3000.0
2026-02-21,Travelling,Bus,20.0
2026-02-21,Utilities,Water Bill,300.0
2026-02-21,Food & Dining,Restaurants,2000.0
2026-02-21,Food & Dining,Dinner,200.0
2026-03-04,Travelling,Train,500.0
2026-03-13,Shopping,Clothes,2000.0
2026-03-24,Food & Dining,Restaurants,3000.0
2026-03-25,Food & Dining,Lunch,200.0
2026-03-19,Utilities,Water Bill,400.0
2026-02-21,Food & Dining,Restaurants,200.0
2026-02-21,Food & Dining,Groceries,200.0
2026-03-10,Food & Dining,Snacks,50.0
2026-03-10,Food & Dining,Breakfast,60.0
2026-07-08,Food & Dining,Snacks,80.0
